      date        h         min      t_sum  MLT   MLAT   GLON   GLAT
 09.12.2013      16         30      16.50 22.31  69.34   80.7  73.53
 09.12.2013      19         52      19.87 22.08  71.89   19.2   74.5
 10.12.2013       1         13       1.22 20.53  59.25 287.55  48.65
 10.12.2013       2         57       2.95 20.59  72.45 267.89  62.82
 10.12.2013       5         14       5.23 21.43  77.05 254.97  69.12
 10.12.2013      12          0      12.00  1.76  66.59 220.89  64.05
 11.12.2013      12         57      12.95  2.44  67.65 214.78  66.56
 11.12.2013      21         15      21.25  1.42  65.95  61.21   69.6
 12.12.2013       4         54       4.90 21.68  58.49  256.2  49.69
 12.12.2013       9         28       9.47  1.15  69.42 245.52  62.48
 14.12.2013       1         16       1.27  2.92  66.86  16.03   69.3
 14.12.2013       3         57       3.95  2.06  65.75 314.56  61.16
 14.12.2013      13         30      13.50  0.58  65.92  170.9  70.08
 15.12.2013       0          7       0.12 23.81  71.63 338.03  70.48
 15.12.2013       9         31       9.52 22.35  70.87 216.35  70.14
 15.12.2013      13          8      13.13  1.75  65.59 199.56  66.97
 15.12.2013      17         27      17.45 21.81  65.95  61.21   69.6
 15.12.2013      23         12      23.20 20.72  75.25 306.43  67.93
 16.12.2013       4         50       4.83  2.73  67.41 310.32     62
 16.12.2013      11         25      11.42 23.89  65.59 199.56  66.97
 16.12.2013      14          0      14.00  2.61  65.59 199.56  66.97
 16.12.2013      17         44      17.73 23.29  69.34   80.7  73.53
 16.12.2013      23         17      23.28  1.02  67.07  16.03   69.3
 18.12.2013       8          8       8.13 22.74  69.85 233.31  65.26
 18.12.2013      22          5      22.08  2.55  67.35  66.83  71.16
 19.12.2013      13         17      13.28  1.81  70.64 203.38  71.32
 20.12.2013       0          1       0.02  2.16  66.82  22.96  69.86
 20.12.2013       4         26       4.43  2.17  69.98 308.27  64.17
 20.12.2013       9         45       9.75  1.37  69.42 245.52  62.48
 20.12.2013      17          9      17.15  1.56  66.71 128.92  71.59
 20.12.2013      19         32      19.53 21.77  68.19  22.22  70.54
 20.12.2013      22         45      22.75   0.9  68.19  22.22  70.54
 21.12.2013       3          7       3.12 23.25  72.21 291.48  63.75
 21.12.2013       7         24       7.40  1.19   68.5 265.79  57.71
 22.12.2013      17         22      17.37 22.94  69.34   80.7  73.53
 23.12.2013       5         27       5.45  1.79  72.21 291.48  63.75
 23.12.2013      21          7      21.12 23.16  71.89   19.2   74.5
 24.12.2013      23          4      23.07 20.62  72.64  307.1  65.42
 25.12.2013       7         59       7.98 21.86  71.57 226.23  68.41
 26.12.2013      10          4      10.07  1.93  67.48 248.89  58.77
 26.12.2013      13          4      13.07  0.04  65.92  170.9  70.08
